date, value
01/07/1959,117.7
02/07/1959,117.6
06/07/1959,117.1
07/07/1959,117.1
08/07/1959,117
09/07/1959,117.4
10/07/1959,118.2
13/07/1959,117.3
14/07/1959,118.6
15/07/1959,118.2
16/07/1959,118.1
17/07/1959,118.4
20/07/1959,119
21/07/1959,118.5
22/07/1959,118.3
23/07/1959,116.6
24/07/1959,117.5
27/07/1959,117.4
28/07/1959,116.6
29/07/1959,117.2
30/07/1959,117
31/07/1959,117.3
03/08/1959,116.5
04/08/1959,116.7
05/08/1959,117
06/08/1959,116.2
07/08/1959,116
10/08/1959,115.6
11/08/1959,115.6
12/08/1959,115.5
13/08/1959,116
14/08/1959,116.4
17/08/1959,115.7
18/08/1959,115.5
19/08/1959,115.6
20/08/1959,116
21/08/1959,116.2
24/08/1959,116.2
25/08/1959,116.2
26/08/1959,116.1
27/08/1959,115.6
28/08/1959,115.5
31/08/1959,115.3
01/09/1959,115.6
02/09/1959,116
03/09/1959,115.7
04/09/1959,116
08/09/1959,115.3
09/09/1959,114.6
10/09/1959,114.5
11/09/1959,114.1
14/09/1959,113.5
15/09/1959,113.4
16/09/1959,113.4
17/09/1959,113.4
18/09/1959,113.3
21/09/1959,113.3
22/09/1959,113.3
23/09/1959,114.2
24/09/1959,114.2
25/09/1959,113.6
28/09/1959,114
29/09/1959,113.5
30/09/1959,113.5
01/10/1959,113.5
02/10/1959,114.1
05/10/1959,114.1
06/10/1959,114.2
07/10/1959,114.2
08/10/1959,114.2
09/10/1959,113.7
12/10/1959,113.2
13/10/1959,113.5
14/10/1959,113.1
15/10/1959,113.1
16/10/1959,112.6
19/10/1959,113
20/10/1959,113.6
21/10/1959,114.4
22/10/1959,114.1
23/10/1959,113.7
26/10/1959,115.1
27/10/1959,114.4
28/10/1959,114.4
29/10/1959,113.6
30/10/1959,114.2
02/11/1959,114.1
03/11/1959,115.4
04/11/1959,116.6
05/11/1959,116.4
06/11/1959,117.1
09/11/1959,116.4
10/11/1959,116
11/11/1959,116.2
12/11/1959,116.6
13/11/1959,116.7
16/11/1959,116.5
17/11/1959,116.3
18/11/1959,116.3
19/11/1959,115.4
20/11/1959,114.4
23/11/1959,114.1
24/11/1959,114.3
25/11/1959,114.4
27/11/1959,114.1
30/11/1959,114.2
01/12/1959,114.2
02/12/1959,114.1
03/12/1959,114.1
04/12/1959,114
07/12/1959,114.3
08/12/1959,114
09/12/1959,113.5
10/12/1959,113.6
11/12/1959,113.5
14/12/1959,113.4
15/12/1959,113.3
16/12/1959,113.1
17/12/1959,112
18/12/1959,113.1
21/12/1959,112.2
22/12/1959,112.3
23/12/1959,113.3
24/12/1959,113
28/12/1959,113.7
29/12/1959,114.4
30/12/1959,114.1
31/12/1959,113.7
04/01/1960,114
05/01/1960,114
06/01/1960,114.4
07/01/1960,114.7
08/01/1960,114.3
11/01/1960,114
12/01/1960,114.2
13/01/1960,114.4
14/01/1960,114.5
15/01/1960,114.6
18/01/1960,115.2
19/01/1960,115
20/01/1960,114.7
21/01/1960,114.6
22/01/1960,114.4
25/01/1960,114
26/01/1960,114.1
27/01/1960,114.2
28/01/1960,114.2
29/01/1960,114.1
01/02/1960,113.6
02/02/1960,113.7
03/02/1960,114.5
04/02/1960,114.3
05/02/1960,114.2
08/02/1960,114.4
09/02/1960,114.3
10/02/1960,114
11/02/1960,114.1
12/02/1960,113.6
15/02/1960,113.3
16/02/1960,112.7
17/02/1960,113
18/02/1960,112.6
19/02/1960,112
23/02/1960,111.4
24/02/1960,112.26
25/02/1960,113.66
26/02/1960,114.22
29/02/1960,115.5
01/03/1960,116.7
02/03/1960,116.6
03/03/1960,117.2
04/03/1960,116.6
07/03/1960,116.7
08/03/1960,117
09/03/1960,117.2
10/03/1960,116.7
11/03/1960,116.4
14/03/1960,116.6
15/03/1960,116.4
16/03/1960,116.7
17/03/1960,116.5
18/03/1960,116.4
21/03/1960,116.1
22/03/1960,116.2
23/03/1960,116.6
24/03/1960,117.2
25/03/1960,117.4
28/03/1960,117.6
29/03/1960,118.2
30/03/1960,119
31/03/1960,119.2
01/04/1960,119.2
04/04/1960,118.5
05/04/1960,118
06/04/1960,118.1
07/04/1960,118.4
08/04/1960,118.3
11/04/1960,118.3
12/04/1960,118.7
13/04/1960,119.1
14/04/1960,119.1
18/04/1960,119.1
19/04/1960,118.4
20/04/1960,118.5
21/04/1960,119
22/04/1960,119.2
25/04/1960,119.2
26/04/1960,119.2
27/04/1960,119.16
28/04/1960,119.92
29/04/1960,120.5
02/05/1960,120.5
03/05/1960,120.5
04/05/1960,120
05/05/1960,120.2
06/05/1960,120.6
09/05/1960,120.2
10/05/1960,120.3
11/05/1960,120.1
12/05/1960,120.7
13/05/1960,120.4
16/05/1960,121.1
17/05/1960,121.1
18/05/1960,120.7
19/05/1960,121.3
20/05/1960,121.7
23/05/1960,121.3
24/05/1960,121.1
25/05/1960,121.4
26/05/1960,121.4
27/05/1960,121.5
31/05/1960,121.3
01/06/1960,121
02/06/1960,120.4
03/06/1960,120.1
06/06/1960,120.1
07/06/1960,119.6
08/06/1960,119.2
09/06/1960,119.2
10/06/1960,118.4
13/06/1960,118.5
14/06/1960,118.6
15/06/1960,118.5
16/06/1960,118.7
17/06/1960,118.1
20/06/1960,117.3
21/06/1960,116.7
22/06/1960,115.7
23/06/1960,116.1
24/06/1960,116
27/06/1960,115.82
28/06/1960,115.84
29/06/1960,115.6
30/06/1960,115.9
01/07/1960,116.7
05/07/1960,117.4
06/07/1960,117.5
07/07/1960,117.3
08/07/1960,117.3
11/07/1960,117.2
12/07/1960,116.6
13/07/1960,116.5
14/07/1960,116.5
15/07/1960,116.3
18/07/1960,116.1
19/07/1960,116.3
20/07/1960,115.4
21/07/1960,116.7
22/07/1960,116.6
25/07/1960,116.3
26/07/1960,116.4
27/07/1960,116.7
28/07/1960,116.5
29/07/1960,116.1
01/08/1960,116.3
02/08/1960,116.3
03/08/1960,115.7
04/08/1960,116.3
05/08/1960,116
08/08/1960,115.1
09/08/1960,114.7
10/08/1960,115.1
11/08/1960,114.7
12/08/1960,114.7
15/08/1960,115.1
16/08/1960,115.4
17/08/1960,116.3
18/08/1960,116.1
19/08/1960,115.4
22/08/1960,115.2
23/08/1960,115.6
24/08/1960,115.7
25/08/1960,115.6
26/08/1960,114.8
29/08/1960,113.36
30/08/1960,111.98
31/08/1960,110.84
01/09/1960,110.5
